Date received,Product,Company
2/14/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
8/14/2019,Mortgage,"Shellpoint Partners, LLC"
3/10/2020,Mortgage,JPMORGAN CHASE & CO.
6/7/2019,Debt collection,"Stevens Business Service, Inc."
5/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",PORTFOLIO RECOVERY ASSOCIATES INC
3/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/30/2019,"Money transfer, virtual currency, or money service",UNITED SERVICES AUTOMOBILE ASSOCIATION
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
6/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/25/2019,Debt collection,"Express Recovery Services, Inc."
10/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
4/26/2019,Debt collection,"Express Recovery Services, Inc."
6/18/2019,Checking or savings account,BB&T CORPORATION
8/5/2019,Vehicle loan or lease,"General Motors Financial Company, Inc."
4/3/2019,Debt collection,"JH Portfolio Debt Equities, LLC"
4/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/20/2018,Debt collection,UNITED SERVICES AUTOMOBILE ASSOCIATION
3/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,Student loan,NEW YORK STATE HIGHER EDUCATION SERVICES CORPORATION (HESC)—
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","Southwest Credit Systems, L.P."
3/5/2020,Vehicle loan or lease,ALLY FINANCIAL INC.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/6/2020,Credit card or prepaid card,GOLDMAN SACHS BANK USA
6/5/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
4/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/8/2019,Credit card or prepaid card,CAPITAL ONE FINANCIAL CORPORATION
4/10/2019,Credit card or prepaid card,AMERICAN EXPRESS COMPANY
12/20/2018,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/23/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/29/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/9/2019,Debt collection,"RAS LaVrar, LLC"
6/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/26/2019,Mortgage,"SELECT PORTFOLIO SERVICING, INC."
5/22/2019,Mortgage,U.S. BANCORP
4/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/29/2019,Mortgage,"Live Well Financial, Inc."
10/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/17/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/29/2019,Debt collection,Financial Data Systems
9/19/2018,Checking or savings account,WELLS FARGO & COMPANY
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",WELLS FARGO & COMPANY
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/7/2020,Credit card or prepaid card,JPMORGAN CHASE & CO.
11/21/2018,Debt collection,CAPITAL ONE FINANCIAL CORPORATION
4/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/23/2019,Debt collection,"Receivables Performance Management, LLC"
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/25/2019,Mortgage,TD BANK US HOLDING COMPANY
2/14/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
5/30/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/29/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
6/15/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/2/2019,Mortgage,PNC Bank N.A.
4/2/2019,Debt collection,LANIER COLLECTIONS AGENCY AND SERVICES INC
3/29/2019,Credit card or prepaid card,"CITIBANK, N.A."
3/8/2019,Mortgage,Freedom Mortgage Company
3/8/2020,"Credit reporting, credit repair services, or other personal consumer reports",DISCOVER BANK
4/25/2019,Debt collection,Phoenix Financial Services LLC
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",BANK OF THE WEST
3/25/2019,Debt collection,CL Holdings LLC
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports",CORELOGIC INC
4/12/2019,"Credit reporting, credit repair services, or other personal consumer reports",WELLS FARGO & COMPANY
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/16/2019,Mortgage,Selene Finance LP
1/15/2020,Debt collection,"Aldous & Associates, PLLC"
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/13/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/19/2019,Mortgage,"BANK OF AMERICA, NATIONAL ASSOCIATION"
3/26/2019,Mortgage,"SUNTRUST BANKS, INC."
3/24/2019,Debt collection,ENCORE CAPITAL GROUP INC.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/27/2019,"Money transfer, virtual currency, or money service","Paypal Holdings, Inc"
5/8/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
11/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/2/2019,Student loan,AES/PHEAA
4/2/2019,Debt collection,"Asset Management Outsourcing, Inc."
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/20/2019,Debt collection,"H. Kent Hollins, Attorney at Law, P.A"
5/3/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/28/2019,Debt collection,Global Credit & Collection Corporation
4/20/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/20/2019,Debt collection,SYNCHRONY FINANCIAL
3/20/2019,Checking or savings account,KEYCORP
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/31/2019,Debt collection,CREDIT ACCEPTANCE CORPORATION
2/28/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/6/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/6/2020,Credit card or prepaid card,Comerica
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","SUNTRUST BANKS, INC."
4/18/2019,Debt collection,ENCORE CAPITAL GROUP INC.
8/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",WELLS FARGO & COMPANY
6/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/14/2020,"Credit reporting, credit repair services, or other personal consumer reports","Conn's, Inc."
1/23/2020,Student loan,"Professional Bureau of Collections of Maryland, Inc."
3/27/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/26/2019,Debt collection,"I.C. System, Inc."
4/26/2019,Debt collection,"Admin Recovery, LLC"
6/6/2019,Mortgage,Home Point Financial Corporation
4/3/2019,Credit card or prepaid card,U.S. BANCORP
6/12/2019,Debt collection,Radius Global Solutions LLC
4/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/11/2019,Debt collection,"EQUIFAX, INC."
1/4/2020,Debt collection,"Merchants and Professional Bureau, Inc."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/8/2017,Debt collection,Midwest Recovery Systems
3/29/2019,Debt collection,"EOS Holdings, Inc."
4/5/2019,Debt collection,Mar Joe Enterprises
4/3/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
4/15/2019,Checking or savings account,JPMORGAN CHASE & CO.
7/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/16/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/5/2019,Checking or savings account,WELLS FARGO & COMPANY
3/22/2019,Credit card or prepaid card,Alliance Data Card Services
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/28/2018,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/13/2019,Student loan,TRANSWORLD SYSTEMS INC
3/25/2019,Mortgage,RUSHMORE LOAN MANAGEMENT SERVICES LLC
7/16/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/22/2019,Debt collection,AFNI INC.
3/25/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
2/25/2019,Student loan,"National Credit Services, Inc."
12/7/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
9/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/1/2019,Credit card or prepaid card,BARCLAYS BANK DELAWARE
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/20/2019,Checking or savings account,BMO HARRIS BANK NATIONAL ASSOCIATION
4/10/2019,Credit card or prepaid card,BARCLAYS BANK DELAWARE
4/1/2019,Debt collection,"ProCollect, Inc"
4/2/2019,Mortgage,M&T BANK CORPORATION
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/27/2019,Credit card or prepaid card,"CITIBANK, N.A."
4/22/2019,"Credit reporting, credit repair services, or other personal consumer reports",U.S. BANCORP
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/31/2015,Bank account or service,FIRSTBANK PUERTO RICO
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",CAPITAL ONE FINANCIAL CORPORATION
4/5/2019,Debt collection,Circle Internet Financial
4/6/2019,"Credit reporting, credit repair services, or other personal consumer reports","Capio Partners, LLC"
10/30/2018,"Credit reporting, credit repair services, or other personal consumer reports","Navient Solutions, LLC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","ECMC Group, Inc."
10/17/2016,Debt collection,Midwest Recovery Systems
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/21/2019,Checking or savings account,Synovus Bank
4/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports",FIFTH THIRD FINANCIAL CORPORATION
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",JPMORGAN CHASE & CO.
7/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/22/2019,Debt collection,"Conn's, Inc."
3/29/2019,"Payday loan, title loan, or personal loan",Regional Management Corporation
6/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/30/2019,Debt collection,"Diversified Consultants, Inc."
3/23/2019,Debt collection,"Convergent Resources, Inc."
4/17/2019,Checking or savings account,"HUNTINGTON NATIONAL BANK, THE"
8/13/2019,Debt collection,Thaxton Investment Corporation
3/6/2019,"Credit reporting, credit repair services, or other personal consumer reports",Monterey Financial Services LLC
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","Navient Solutions, LLC."
3/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/30/2019,Debt collection,"Convergent Resources, Inc."
3/22/2019,Debt collection,AFNI INC.
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
12/19/2018,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
2/24/2019,Debt collection,"Crown Asset Management, LLC"
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/29/2019,Debt collection,"Pendrick Capital Partners Holding, LLC"
3/27/2019,Debt collection,Alliant Capital Management LLC
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/24/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/14/2019,Debt collection,ENCORE CAPITAL GROUP INC.
4/9/2019,Debt collection,PORTFOLIO RECOVERY ASSOCIATES INC
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/26/2018,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/5/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/25/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/19/2019,Student loan,Credit Adjustments Inc
3/19/2019,Mortgage,INVESTORS BANK
4/9/2019,Debt collection,"Key 2 Recovery, Inc."
4/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/23/2017,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/30/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/9/2019,Student loan,WELLS FARGO & COMPANY
11/5/2018,Credit card or prepaid card,JPMORGAN CHASE & CO.
4/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","Retrieval-Masters Creditors Bureau, Inc."
6/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/3/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
12/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
3/4/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/5/2019,Debt collection,LJ Ross Associates
3/12/2019,Checking or savings account,"Xerox State & Local Solutions, Inc."
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/13/2019,Checking or savings account,"SUNTRUST BANKS, INC."
4/15/2019,"Credit reporting, credit repair services, or other personal consumer reports",FIRST ADVANTAGE CORPORATION
2/14/2019,Mortgage,RUSHMORE LOAN MANAGEMENT SERVICES LLC
4/14/2019,Debt collection,"Tower Loan of Mississippi, Inc."
3/4/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/7/2020,Credit card or prepaid card,Alliance Data Card Services
3/13/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/1/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
1/16/2019,"Credit reporting, credit repair services, or other personal consumer reports",JPMORGAN CHASE & CO.
11/8/2018,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/24/2019,Student loan,"Valentine and Kebartas, Inc."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
6/23/2019,Debt collection,"The Bureaus, Inc."
3/26/2019,Checking or savings account,TD BANK US HOLDING COMPANY
3/22/2019,Vehicle loan or lease,WELLS FARGO & COMPANY
4/10/2019,Mortgage,"Peer Advisors, LLC"
6/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/7/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
4/13/2019,Student loan,Lincoln Educational Services Corporation
3/7/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/22/2019,Vehicle loan or lease,"General Motors Financial Company, Inc."
3/22/2019,Checking or savings account,TD BANK US HOLDING COMPANY
2/25/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
4/15/2019,Credit card or prepaid card,NETSPEND CORPORATION
4/15/2019,Credit card or prepaid card,SYNCHRONY FINANCIAL
9/6/2019,Debt collection,"CMRE Financial Services, Inc."
4/9/2019,Credit card or prepaid card,"BANK OF AMERICA, NATIONAL ASSOCIATION"
3/29/2019,Mortgage,BB&T CORPORATION
1/26/2020,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
4/11/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/20/2019,Credit card or prepaid card,Alliance Data Card Services
4/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/3/2019,Mortgage,HSBC NORTH AMERICA HOLDINGS INC.
3/13/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
5/9/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/23/2019,Debt collection,ENCORE CAPITAL GROUP INC.
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/23/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
4/13/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/29/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/25/2019,Debt collection,Allied Interstate LLC
4/5/2019,Mortgage,RUSHMORE LOAN MANAGEMENT SERVICES LLC
12/4/2018,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/5/2020,Debt collection,Prince Parker & Associates
3/9/2020,Credit card or prepaid card,JPMORGAN CHASE & CO.
3/17/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/25/2019,"Payday loan, title loan, or personal loan",Iron Capital Group
9/20/2016,Debt collection,Midwest Recovery Systems
4/17/2019,Debt collection,"TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/26/2019,Mortgage,Ditech Financial LLC
6/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
7/20/2019,Checking or savings account,TD BANK US HOLDING COMPANY
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",LEXISNEXIS
3/25/2019,"Credit reporting, credit repair services, or other personal consumer reports",U.S. BANCORP
3/27/2019,Checking or savings account,KEYCORP
3/21/2019,"Credit reporting, credit repair services, or other personal consumer reports","Fidelity National Information Services, Inc. (FNIS)"
3/27/2019,Checking or savings account,"CITIZENS FINANCIAL GROUP, INC."
3/28/2019,Mortgage,NATIONSTAR MORTGAGE
3/28/2019,Debt collection,"Altisource Portfolio Solutions, S.à r.l."
3/6/2019,Debt collection,"Alpine Credit, Inc"
3/28/2019,Mortgage,"CITIBANK, N.A."
3/28/2019,"Credit reporting, credit repair services, or other personal consumer reports","CITIBANK, N.A."
3/29/2019,Debt collection,"CITIBANK, N.A."
3/29/2019,Credit card or prepaid card,"CITIBANK, N.A."
7/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/8/2019,Mortgage,"PLAZA HOME MORTGAGE, INC."
7/20/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/28/2019,Checking or savings account,CAPITAL ONE FINANCIAL CORPORATION
3/30/2019,Credit card or prepaid card,KEYCORP
7/8/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/6/2019,Mortgage,Ditech Financial LLC
1/27/2019,Checking or savings account,"BANK OF AMERICA, NATIONAL ASSOCIATION"
5/31/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
5/29/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/17/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/22/2019,Debt collection,ENCORE CAPITAL GROUP INC.
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/18/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
