Date received,Product,Company
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
1/21/2020,Debt collection,Commercial Acceptance Company
4/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/9/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
3/1/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
2/20/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
3/25/2019,Debt collection,CREDIT ACCEPTANCE CORPORATION
3/7/2020,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
10/1/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
10/2/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
11/23/2019,"Credit reporting, credit repair services, or other personal consumer reports",Experian Information Solutions Inc.
8/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
6/27/2019,Checking or savings account,JPMORGAN CHASE & CO.
12/5/2019,Debt collection,JPMORGAN CHASE & CO.
11/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/31/2019,Debt collection,"Collection Information Bureau, Inc."
12/27/2018,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
1/6/2020,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
4/1/2019,Debt collection,"Northstar Location Services, LLC"
11/24/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
8/12/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
9/19/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
3/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","Colony Brands, Inc."
12/26/2019,"Credit reporting, credit repair services, or other personal consumer reports","EQUIFAX, INC."
12/11/2019,Debt collection,ENCORE CAPITAL GROUP INC.
10/10/2019,"Credit reporting, credit repair services, or other personal consumer reports","TRANSUNION INTERMEDIATE HOLDINGS, INC."
